Image Name,Correct Prediction,True Label,Predicted Label,Probabilities
data/test\cats\cat.1300.jpg,False,cat,dog,"['3.97%', '96.03%']"
data/test\cats\cat.1301.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1302.jpg,True,cat,cat,"['99.86%', '0.14%']"
data/test\cats\cat.1303.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1304.jpg,True,cat,cat,"['94.87%', '5.13%']"
data/test\cats\cat.1305.jpg,False,cat,dog,"['39.04%', '60.96%']"
data/test\cats\cat.1306.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1307.jpg,True,cat,cat,"['99.97%', '0.03%']"
data/test\cats\cat.1308.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1309.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1310.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1311.jpg,True,cat,cat,"['99.93%', '0.07%']"
data/test\cats\cat.1312.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1313.jpg,True,cat,cat,"['89.80%', '10.20%']"
data/test\cats\cat.1314.jpg,True,cat,cat,"['97.72%', '2.28%']"
data/test\cats\cat.1315.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1316.jpg,True,cat,cat,"['84.23%', '15.77%']"
data/test\cats\cat.1317.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1318.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1319.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1320.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1321.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1322.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1323.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1324.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1325.jpg,False,cat,dog,"['10.59%', '89.41%']"
data/test\cats\cat.1326.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1327.jpg,True,cat,cat,"['99.36%', '0.64%']"
data/test\cats\cat.1328.jpg,True,cat,cat,"['98.73%', '1.27%']"
data/test\cats\cat.1329.jpg,True,cat,cat,"['99.91%', '0.09%']"
data/test\cats\cat.1330.jpg,True,cat,cat,"['99.87%', '0.13%']"
data/test\cats\cat.1331.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1332.jpg,True,cat,cat,"['95.36%', '4.64%']"
data/test\cats\cat.1333.jpg,False,cat,dog,"['2.08%', '97.92%']"
data/test\cats\cat.1334.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1335.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1336.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1337.jpg,True,cat,cat,"['99.87%', '0.13%']"
data/test\cats\cat.1338.jpg,True,cat,cat,"['85.15%', '14.85%']"
data/test\cats\cat.1339.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1340.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1341.jpg,True,cat,cat,"['65.00%', '35.00%']"
data/test\cats\cat.1342.jpg,True,cat,cat,"['99.96%', '0.04%']"
data/test\cats\cat.1343.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1344.jpg,True,cat,cat,"['99.61%', '0.39%']"
data/test\cats\cat.1345.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1346.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1347.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1348.jpg,True,cat,cat,"['99.99%', '0.01%']"
data/test\cats\cat.1349.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1350.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1351.jpg,True,cat,cat,"['98.42%', '1.58%']"
data/test\cats\cat.1352.jpg,True,cat,cat,"['96.90%', '3.10%']"
data/test\cats\cat.1353.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1354.jpg,True,cat,cat,"['99.98%', '0.02%']"
data/test\cats\cat.1355.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1356.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1357.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1358.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1359.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1360.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1361.jpg,True,cat,cat,"['89.73%', '10.27%']"
data/test\cats\cat.1362.jpg,True,cat,cat,"['100.00%', '0.00%']"
data/test\cats\cat.1363.jpg,True,cat,cat,"['100.00%', '0.00%']"
