Image Name,Correct Prediction,True Label,Predicted Label,Probabilities
data/validation\cats\cat.1000.jpg,True,cat,cat,"['0.74', '0.26']"
data/validation\cats\cat.1001.jpg,False,cat,dog,"['0.43', '0.57']"
data/validation\cats\cat.1002.jpg,False,cat,dog,"['0.48', '0.52']"
data/validation\cats\cat.1003.jpg,True,cat,cat,"['0.68', '0.32']"
data/validation\cats\cat.1004.jpg,True,cat,cat,"['0.78', '0.22']"
data/validation\cats\cat.1005.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1006.jpg,True,cat,cat,"['0.67', '0.33']"
data/validation\cats\cat.1007.jpg,False,cat,dog,"['0.20', '0.80']"
data/validation\cats\cat.1008.jpg,True,cat,cat,"['0.76', '0.24']"
data/validation\cats\cat.1009.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1010.jpg,True,cat,cat,"['0.61', '0.39']"
data/validation\cats\cat.1011.jpg,False,cat,dog,"['0.40', '0.60']"
data/validation\cats\cat.1012.jpg,False,cat,dog,"['0.36', '0.64']"
data/validation\cats\cat.1013.jpg,True,cat,cat,"['0.68', '0.32']"
data/validation\cats\cat.1014.jpg,True,cat,cat,"['0.61', '0.39']"
data/validation\cats\cat.1015.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1016.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1017.jpg,True,cat,cat,"['0.79', '0.21']"
data/validation\cats\cat.1018.jpg,True,cat,cat,"['0.73', '0.27']"
data/validation\cats\cat.1019.jpg,True,cat,cat,"['0.80', '0.20']"
data/validation\cats\cat.1020.jpg,True,cat,cat,"['0.67', '0.33']"
data/validation\cats\cat.1021.jpg,False,cat,dog,"['0.17', '0.83']"
data/validation\cats\cat.1022.jpg,True,cat,cat,"['0.63', '0.37']"
data/validation\cats\cat.1023.jpg,True,cat,cat,"['0.92', '0.08']"
data/validation\cats\cat.1024.jpg,False,cat,dog,"['0.18', '0.82']"
data/validation\cats\cat.1025.jpg,True,cat,cat,"['0.52', '0.48']"
data/validation\cats\cat.1026.jpg,True,cat,cat,"['0.81', '0.19']"
data/validation\cats\cat.1027.jpg,True,cat,cat,"['0.57', '0.43']"
data/validation\cats\cat.1028.jpg,True,cat,cat,"['0.62', '0.38']"
data/validation\cats\cat.1029.jpg,True,cat,cat,"['0.76', '0.24']"
data/validation\cats\cat.1030.jpg,True,cat,cat,"['0.89', '0.11']"
data/validation\cats\cat.1031.jpg,True,cat,cat,"['0.81', '0.19']"
data/validation\cats\cat.1032.jpg,False,cat,dog,"['0.44', '0.56']"
data/validation\cats\cat.1033.jpg,True,cat,cat,"['0.73', '0.27']"
data/validation\cats\cat.1034.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1035.jpg,True,cat,cat,"['0.80', '0.20']"
data/validation\cats\cat.1036.jpg,False,cat,dog,"['0.15', '0.85']"
data/validation\cats\cat.1037.jpg,False,cat,dog,"['0.29', '0.71']"
data/validation\cats\cat.1038.jpg,True,cat,cat,"['0.67', '0.33']"
data/validation\cats\cat.1039.jpg,True,cat,cat,"['0.52', '0.48']"
data/validation\cats\cat.1040.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1041.jpg,True,cat,cat,"['0.57', '0.43']"
data/validation\cats\cat.1042.jpg,True,cat,cat,"['0.71', '0.29']"
data/validation\cats\cat.1043.jpg,False,cat,dog,"['0.32', '0.68']"
data/validation\cats\cat.1044.jpg,True,cat,cat,"['0.64', '0.36']"
data/validation\cats\cat.1045.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1046.jpg,True,cat,cat,"['0.57', '0.43']"
data/validation\cats\cat.1047.jpg,False,cat,dog,"['0.43', '0.57']"
data/validation\cats\cat.1048.jpg,False,cat,dog,"['0.10', '0.90']"
